Timestamp,CPU usage (%),Memory usage (KB),Battery percentage (%),CPU temperature (°C)
2023-03-04 21:19:40,2.9,164840,18
2023-03-04 21:19:46,3.1,168605,18
2023-03-04 21:19:52,6.1,112833,18
2023-03-04 21:19:57,7.6,109984,18
2023-03-04 21:20:03,7.5,109817,18
2023-03-04 21:20:09,8.3,109276,18
2023-03-04 21:20:14,8.3,109278,18
2023-03-04 21:20:20,8.4,109282,18
2023-03-04 21:20:26,8.5,109278,18
2023-03-04 21:20:32,7.6,106688,17
2023-03-04 21:20:38,7.4,106617,17
2023-03-04 21:20:43,7.9,101919,17
2023-03-04 21:20:49,8.0,101606,17
2023-03-04 21:20:55,7.9,101610,17
2023-03-04 21:21:01,7.8,101536,17
2023-03-04 21:21:06,7.9,101330,17
2023-03-04 21:21:12,7.9,103874,17
2023-03-04 21:21:18,7.9,101198,17
2023-03-04 21:21:24,8.1,100226,17
2023-03-04 21:21:29,8.3,99900,17
2023-03-04 21:21:35,8.4,99720,17
2023-03-04 21:21:41,8.5,99569,17
2023-03-04 21:21:46,8.7,99616,17
2023-03-04 21:21:52,8.6,99002,17
2023-03-04 21:21:58,8.6,98703,17
2023-03-04 21:22:04,8.7,98609,17
2023-03-04 21:22:09,7.8,98601,17
2023-03-04 21:22:15,7.9,98857,17
2023-03-04 21:22:21,8.0,98861,17
2023-03-04 21:22:26,7.7,95129,17
2023-03-04 21:22:32,7.7,94657,17
2023-03-04 21:22:38,7.5,94481,17
2023-03-04 21:22:43,7.6,93011,17
2023-03-04 21:22:49,7.2,93113,17
2023-03-04 21:22:55,7.3,93091,17
2023-03-04 21:23:01,7.3,93063,16
2023-03-04 21:23:06,7.5,92850,16
2023-03-04 21:23:12,8.9,94792,16
2023-03-04 21:23:18,8.5,93297,16
2023-03-04 21:23:24,7.8,91903,16
2023-03-04 21:23:30,7.3,91709,16
2023-03-04 21:23:36,6.4,91891,16
2023-03-04 21:23:41,6.9,91810,16
2023-03-04 21:23:47,6.7,91819,16
2023-03-04 21:23:53,7.2,91522,16
2023-03-04 21:23:58,6.7,95865,16
2023-03-04 21:24:04,6.7,96997,16
2023-03-04 21:24:10,6.7,96989,16
2023-03-04 21:24:15,8.0,97532,16
2023-03-04 21:24:21,8.0,97513,16
2023-03-04 21:24:27,8.1,97509,16
2023-03-04 21:24:33,8.1,97509,16
2023-03-04 21:24:38,8.1,97287,16
